World rank;Company;Country;Region;Industry-ICB3 sector name;R&D 2021 (EUR million);R&D one-year growth (%);Net sales (EUR million);Net sales one-year growth (%);R&D intensity (%);Capex (EUR million);Capex one-year growth (%);Capex intensity (%);Op.profits (EUR million);Op.profits one-year growth (%);Profitability (%);Employees;Employees one-year growth (%);Market cap (EUR million);Market cap one-year growth (%)
215;CHINA MOBILE;China;China;Mobile Telecommunications;925.3;36.3;117566.8;10.4;0.8;28090.1;6.9;23.9;18314.2;4.6;15.6;449934;-1;109309;-12.9
216;SPLUNK;US;US;Software & Computer Services;920.4;28.5;2360.6;19.9;39;9.4;-71.2;0.4;-963.8;41.9;-40.8;7000;7.7;22124.4;-28.8
217;SAUDI ARABIAN OIL;Saudi Arabia;RoW;Oil & Gas Producers;912.1;36.8;353583.5;74.2;0.3;28170;18.4;8;183599.2;105.3;51.9;68493;2.5;1820707.1;-1.1
218;WEICHAI POWER;China;China;Automobiles & Parts;910;13.2;27401.1;3.6;3.3;833.1;4.3;3;1818.3;6.9;6.6;42953;-5.3;4316.4;25.3
219;APTIV;UK;Row;Automobiles & Parts;909.4;0.6;13789.5;19.5;6.6;539.5;4.6;3.9;1049.8;-43.9;7.6;155000;2.6;36348.7;77
220;DONGFENG MOTOR;China;China;Automobiles & Parts;901.2;23.8;15662.7;4.2;5.8;637.6;14.2;4.1;-176.9;-191.3;-1.1;122061;-1.8;2754.8;58.4
221;GREE ELECTRICAL APPLIANCES;China;China;Construction & Materials;893.5;4.6;19925.4;11;4.5;793.8;26.5;4;3409.1;4.4;17.1;81884;-2.5;33998.4;-24.6
222;REALTEK SEMICONDUCTOR;Taiwan;RoW;Technology Hardware & Equipment;891.2;46.7;3364.1;35.7;26.5;80;40.8;2.4;557.9;101.9;16.6;;;9021.2;45.8
223;JUNIPER NETWORKS;US;US;Technology Hardware & Equipment;889.3;5.1;4181;6.5;21.3;88.3;-0.4;2.1;380;2.2;9.1;10191;2.4;8319.7;13.6
224;SPOTIFY;Luxembourg;EU;Software & Computer Services;887;8.3;9668;22.7;9.2;85;9;0.9;94;-132.1;1;6617;18.5;37087;-16.9
225;FUJITSU;Japan;Japan;Software & Computer Services;879.9;-7.7;27728.8;-0.1;3.2;1107.4;11.2;4;1694.6;-20.1;6.1;124216;-1.7;32485.5;46.9
226;MICROCHIP TECHNOLOGY;US;US;Technology Hardware & Equipment;873.3;18.3;6022.3;25.4;14.5;326.8;299.7;5.4;1659.1;87.9;27.5;21000;7.7;38074.3;55.7
227;HYUNDAI MOBIS;South Korea;RoW;Automobiles & Parts;868.7;15.3;31029.7;13.9;2.8;710.1;-14.7;2.3;1518;11.5;4.9;;;19573.1;23.5
228;MURATA MANUFACTURING;Japan;Japan;Electronic & Electrical Equipment;860.4;9.4;14012.1;11.2;6.1;1163.7;-24.7;8.3;3336.3;37.8;23.8;77581;3.2;47640.8;45.2
229;TEVA PHARMACEUTICAL INDUSTRIES;Israel;RoW;Pharmaceuticals & Biotechnology;853.8;-3;14019.1;-4.7;6.1;496.2;-2.8;3.5;1509.8;-147.7;10.8;37537;-6.7;9614.3;-3.6
230;UNILEVER;UK;Row;Food Producers;847;5.9;52444;3.4;1.6;1108;28.4;2.1;8628;3.7;16.5;148000;-0.7;124541.4;101.5
231;LUXSHARE PRECISION INDUSTRY;China;China;Electronic & Electrical Equipment;843.9;14.9;21075.7;66.1;4;1741.8;67.5;8.3;1161.4;2.6;5.5;228152;32.3;32968.5;-38
232;INTESA SANPAOLO;Italy;EU;Banks;843;6;22293;-0.9;3.8;775;80.2;3.5;5181;53.6;23.2;97698;-3.3;46584.5;34
233;TELEFONICA;Spain;EU;Fixed Line Telecommunications;835;-12.9;39277;-8.8;2.1;6164;-12.2;15.7;14713;147.9;37.5;104150;-7.7;23575.5;33.6
234;HUNAN VALIN STEEL;China;China;Industrial Engineering;824.4;43.3;22321.8;46.6;3.7;632.7;7.1;2.8;1683.6;38.8;7.5;24066;1.9;6181.5;116.9
235;LYFT;US;US;Industrial Transportation;819.5;0.7;2832.7;35.7;28.9;69.9;-15.4;2.5;-983;-34.7;-34.7;4453;-4.7;13723.6;72.7
236;SEAGATE TECHNOLOGY;Ireland;EU;Technology Hardware & Equipment;815.8;2.3;9430.5;1.6;8.7;439.7;-14.9;4.7;1324.4;8.5;14;40000;-4.8;18825.6;10.7
237;BIONTECH;Germany;EU;Pharmaceuticals & Biotechnology;813.6;86.6;18976.7;3834.4;4.3;127.5;93.1;0.7;14918.1;-18200.8;78.6;3138;53.3;70487.5;9774.4
238;ISUZU MOTORS;Japan;Japan;Industrial Engineering;809.8;15.1;19437.2;31.8;4.2;775.6;2.5;4;1444.5;126.1;7.4;44299;22.3;8366.2;21.6
