World rank;Company;Country;Region;Industry-ICB3 sector name;R&D 2021 (EUR million);R&D one-year growth (%);Net sales (EUR million);Net sales one-year growth (%);R&D intensity (%);Capex (EUR million);Capex one-year growth (%);Capex intensity (%);Op.profits (EUR million);Op.profits one-year growth (%);Profitability (%);Employees;Employees one-year growth (%);Market cap (EUR million);Market cap one-year growth (%)
359;JAPAN TOBACCO;Japan;Japan;Tobacco;502.6;6.9;17972.6;11.1;2.8;667.5;1.2;3.7;3737;16.7;20.8;55381;-5;32971.5;7.6
360;SINO BIOPHARMACEUTICAL;China;China;Pharmaceuticals & Biotechnology;502.1;33;3722.9;13.6;13.5;237.6;20.3;6.4;613.8;-0.1;16.5;25579;6.1;13893.7;-27.4
361;H LUNDBECK;Denmark;EU;Pharmaceuticals & Biotechnology;501.7;-0.5;2193.3;-7.8;22.9;55.2;12.6;2.5;270.5;1;12.3;5348;-5;;
362;PEGATRON;Taiwan;RoW;Software & Computer Services;501;-5.8;40295;-9.7;1.2;662.4;37.9;1.6;661.9;-14.2;1.6;8519;4.4;5515.8;6
363;ZEBRA TECHNOLOGIES;US;US;Electronic & Electrical Equipment;500.6;25.2;4968.2;26.5;10.1;52.1;-11.9;1;892.6;47.6;18;9800;11.4;27685.5;105.2
364;PHILIP MORRIS INTERNATIONAL;US;US;Tobacco;499.7;14.3;27728.2;9.4;1.8;660.4;24.3;2.4;11646.7;13.1;42;69600;-2;141735.2;29.2
365;CHONGOING CHANGAN;China;China;Automobiles & Parts;499.4;39;13682.9;23.8;3.6;278.6;-32.1;2;187.2;-155.8;1.4;42444;5.3;750.6;77.5
366;ZILLOW GROUP;US;US;Real Estate Investment & Services;494.4;12.5;7193.5;143.9;6.9;64.7;-13.7;0.9;-218.6;498.2;-3;8005;45.4;5178.4;14.6
367;NUTANIX;US;US;Software & Computer Services;491.7;0.5;1231.1;6.6;39.9;51.8;-34.5;4.2;-583.4;-20.3;-47.4;6080;-1.5;6797.9;43.5
368;WINBOND ELECTRONICS;Taiwan;RoW;Technology Hardware & Equipment;490.4;46.4;3174.9;64.1;15.4;313.1;17.5;9.9;579.5;853.1;18.3;;;3743.7;142.8
369;SCHLUMBERGER;US;US;Oil Equipment, Services & Distribution;489.1;-4.5;20244.6;-2.8;2.4;1007.4;2.2;5;2441.3;-148;12.1;92000;7;34621.3;48.6
370;SHIN-ETSU CHEMICAL;Japan;Japan;Chemicals;482.8;21.8;16036.8;38.6;3;1513.5;-17.1;9.4;5228.5;72.4;32.6;24954;3.7;58640.1;41.3
371;CSPC PHARMACEUTICAL;China;China;Pharmaceuticals & Biotechnology;480.1;19.4;3862.3;11.7;12.4;195.4;4;5.1;882.7;14.2;22.9;24746;15;13381;-8.3
372;HBIS;China;China;Industrial Metals & Mining;479.9;38;19413.3;35.4;2.5;1358.2;-12.7;7;1189.7;22.2;6.1;33434;-5.4;4591;40.5
373;INNOLUX;Taiwan;RoW;Electronic & Electrical Equipment;479.7;23.8;11162.6;29.7;4.3;897.2;36.1;8;2083.5;1409.9;18.7;;;5808.1;105.7
374;TORAY INDUSTRIES;Japan;Japan;Chemicals;479.2;-1.3;17228.1;18.3;2.8;712.7;-24.7;4.1;777.4;63.8;4.5;48842;5.6;9356;47.3
375;COMMONWEALTH BANK OF AUSTRALIA;Australia;RoW;Banks;476;34.4;15683.1;3.5;3;148;-1.7;0.9;8766.6;10.6;55.9;49245;6.6;113793.8;47
376;CIENA;US;US;Technology Hardware & Equipment;473.8;1.3;3196.8;2.5;14.8;70.2;-3.8;2.2;429.3;-5.3;13.4;7241;3;7806.7;1.5
377;TRIMBLE;US;US;Electronic & Electrical Equipment;473.8;12.8;3230.7;16.2;14.7;40.7;-18.8;1.3;504.4;28.2;15.6;11931;4.6;20932;80.8
378;AKAMAI TECHNOLOGIES;US;US;Software & Computer Services;473.2;14.2;3056;8.2;15.5;290.5;-40.3;9.5;712.7;11.9;23.3;8700;4;16281.5;-2.7
379;NIKON;Japan;Japan;Leisure Goods;472.3;1.9;4171.6;19.6;11.3;139;6;3.3;358.7;-182.3;8.6;18437;-5.2;3389.9;39.3
380;FIBERHOME TELECOMMUNICATIONS TECHNOLOGIES;China;China;Fixed Line Telecommunications;472.1;18.2;3587.9;25.3;13.2;97.1;-27.2;2.7;98.3;22.8;2.7;16388;2.5;2851.2;-29.3
381;RONGSHENG PETROCHEMICAL;China;China;Chemicals;470.7;107;23217.5;60.3;2;8072.8;4.3;34.8;4639.3;105.3;20;19331;10.2;24564.8;53.9
382;SKYWORKS SOLUTIONS;US;US;Technology Hardware & Equipment;470;14.7;4510.9;52.3;10.4;563.1;63.8;12.5;1431.7;79.1;31.7;11000;10;26750.4;25.2
383;BAXTER INTERNATIONAL;US;US;Health Care Equipment & Services;467.1;6.7;11287.3;9.5;4.1;656;4.8;5.8;1774.7;12.8;15.7;60000;20;33642.2;-13.6
384;ROPER TECHNOLOGIES;US;US;Electronic & Electrical Equipment;466.5;18.4;5101.4;19;9.1;29;5.4;0.6;1306.9;16.2;25.6;19300;4.9;44984.3;13.9
385;EVONIK INDUSTRIES;Germany;EU;Chemicals;464;7.2;14955;22.6;3.1;886;-7.3;5.9;1201;42.5;8;33004;-0.3;13332.3;17.3
386;CHINA SHENHUA ENERGY;China;China;Mining;463.9;55.7;46460.2;43.7;1;3220.5;16;6.9;11461.1;41.8;24.7;77872;2.2;6585.2;46.7
387;ROBLOX;US;US;Leisure Goods;460.7;159;1694.5;107.7;27.2;82.4;-10.4;4.9;-437.1;86;-25.8;1600;66.7;37398.7;
388;AVICHINA INDUSTRY & TECHNOLOGY;China;China;Industrial Transportation;458.8;-0.4;8184.2;18;5.6;396.1;19.6;4.8;706.5;33.9;8.6;46428;2.6;4584.9;34.7
389;COUNTRY GARDEN HOLDINGS;China;China;Real Estate Investment & Services;458.5;24.9;72495.6;13;0.6;433.3;4.3;0.6;8662.1;-13.4;11.9;100705;7.2;21889;-8.7
390;SINOTRUK;China;China;Automobiles & Parts;456.7;25.6;12939.1;-4.9;3.5;348.8;142.6;2.7;738.1;-43.7;5.7;28502;11.9;4789.2;-24
391;DEXCOM;US;US;Health Care Equipment & Services;456.6;43.7;2161.8;27.1;21.1;343.6;95.6;15.9;234.7;-11.3;10.9;6300;14.5;45224.1;25.8
392;EXPERIAN;UK;Row;Support Services;456.5;54.3;5551.8;17.1;8.2;55.6;31.3;1;1208.7;28.8;21.8;20394;15.8;35051.7;15.5
393;KAO;Japan;Japan;Personal Goods;456.1;0.8;10968.1;2.7;4.2;463.5;0.9;4.2;1145.7;-15.2;10.4;33507;0.3;24404.7;-18.8
394;MICRO FOCUS INTERNATIONAL;UK;Row;Software & Computer Services;454;-2.9;2560.4;-3.4;17.7;15.6;-32.7;0.6;-232.8;-90;-9.1;11355;-4.6;1772.9;49.4
395;ZHEJIANG DAHUA TECHNOLOGY;China;China;Leisure Goods;448.9;13.5;4469.2;25.3;10;170.1;91.3;3.8;629.9;10.8;14.1;22864;32.5;6252.2;6.3
396;KIA;South Korea;RoW;Automobiles & Parts;448;1.2;51983.1;18.1;0.9;1415.7;-18;2.7;3769.3;145.1;7.3;;;25668.1;100.5
397;LI AUTO;China;China;Automobiles & Parts;448;206.4;3743.5;185.6;12;477.4;410.2;12.8;-141;52;-3.8;11901;184.6;22006.9;
398;SAINT-GOBAIN;France;EU;Construction & Materials;447;4.4;44160;15.8;1;1481;32;3.4;3785;62.8;8.6;167816;0.2;32693.9;76.6
399;ARGENX;Netherlands;EU;Pharmaceuticals & Biotechnology;447;45.7;439.1;1105.7;101.8;3.2;239.2;0.7;-307.9;-27;-70.1;650;93.5;14557.4;59.9
400;JAZZ PHARMACEUTICALS;Ireland;EU;Pharmaceuticals & Biotechnology;446.5;50.8;2732;30.9;16.3;24.4;84.2;0.9;150.3;-55;5.5;3200;156;7136;8.4
401;CHIESI FARMACEUTICI;Italy;EU;Pharmaceuticals & Biotechnology;445.7;16.8;2419.5;8.6;18.4;;;;525;2.2;21.7;6146;3;;
402;SAMSUNG ELECTRO-MECHANICS;South Korea;RoW;Electronic & Electrical Equipment;444.9;17.3;7199;24.8;6.2;651.2;11.7;9;1106.4;62.9;15.4;;;10254.1;48.2
403;SHANXI TAIGANG STAINLESS STEEL;China;China;Industrial Metals & Mining;444.3;57.2;13933.3;50.6;3.2;371.9;16;2.7;1104.9;161.9;7.9;17087;-9;7981.6;176.2
404;CARRIER;US;US;Electronic & Electrical Equipment;444.1;20;18199.7;18.1;2.4;303.7;10.3;1.7;2213.5;33.8;12.2;58000;3.6;44128.2;93.3
405;VESTAS WIND SYSTEMS;Denmark;EU;Alternative Energy;444;34.1;15587;5.2;2.8;476;25.6;3.1;322;-56.5;2.1;29427;0.2;34558.2;37.5
406;INNOVENT BIOLOGICS;China;China;Pharmaceuticals & Biotechnology;443.2;69.7;591.8;11.1;74.9;147.7;117.9;25;-425.2;619.2;-71.8;5568;69.8;10354.4;26.5
407;KE HOLDINGS;China;China;Real Estate Investment & Services;442.7;28.9;11192.1;14.6;4;198.2;61.2;1.8;-187.8;-147.7;-1.7;110082;-8;14307.8;-64.5
408;ELECTROLUX;Sweden;EU;Household Goods & Home Construction;442.5;2.7;12272.8;6.6;3.6;473.5;12.1;3.9;646.3;10.4;5.3;51590;8.5;6422;16.6
409;SS&C TECHNOLOGIES;US;US;Software & Computer Services;441.6;6.2;4459.6;8.2;9.9;45.3;47.4;1;1096.9;26;24.6;24900;1.2;17051.7;17.7
410;F5;US;US;Technology Hardware & Equipment;441.2;13.2;2298.6;10.7;19.2;27.1;-48.9;1.2;356.3;-2.9;15.5;6461;5.8;10840.3;51.7
411;ZIMMER BIOMET;US;US;Health Care Equipment & Services;439;33.7;6918.8;11.6;6.3;418.3;15.8;6;920.1;1086.9;13.3;19500;-2.5;27741.5;7.7
412;GOODYEAR;US;US;Automobiles & Parts;437.9;27.2;15431.7;41.9;2.8;2504.9;338.5;16.2;821.1;-239.2;5.3;72000;16.1;3932.6;99.2
413;FAW JIEFANG;China;China;Automobiles & Parts;437.2;15.4;13186.5;-13.5;3.3;345.4;30.7;2.6;328.3;27;2.5;20684;-1.9;1184.6;-20.8
414;S.F. HOLDING;China;China;Industrial Transportation;433.5;18.7;28599.6;34.5;1.5;2660.5;56.5;9.3;949.7;-33.8;3.3;177129;45.3;35965.1;-32.1
415;FREUDENBERG;Germany;EU;General Industrials;432;40.6;8840.8;-6.6;4.9;362.1;-13.6;4.1;530.2;-35.3;6;47777;-2.2;;
416;WINGTECH TECHNOLOGY;China;China;Mobile Telecommunications;431.4;32.2;7281.9;2.1;5.9;705.7;129.2;9.7;457.4;-0.6;6.3;31658;26.1;15473.5;26.9
417;KNORR-BREMSE;Germany;EU;Industrial Engineering;431.4;8.8;6705.6;8.9;6.4;261.9;8.5;3.9;904.6;9.2;13.5;30544;2.8;16281.2;-4.5
418;BLUEBIRD BIO;US;US;Pharmaceuticals & Biotechnology;430.4;36.1;3.2;;13312.4;12.8;-50;396;-498.9;1;-15431.7;518;-57.3;1091.9;-68.5
419;PTC THERAPEUTICS;US;US;Pharmaceuticals & Biotechnology;428.8;27.3;475.5;41.4;90.2;24.9;58.1;5.2;-330.6;-11.1;-69.5;1262;17.5;2721.1;-7.9
420;IPSEN;France;EU;Pharmaceuticals & Biotechnology;428.4;5.6;2868.9;10.7;14.9;96;17.9;3.3;849.4;61.9;29.6;5744;0.7;7097.4;-2.4
421;MERIEUX ALLIANCE;France;EU;Pharmaceuticals & Biotechnology;428.3;5.3;3734.6;13.9;11.5;277.5;1.8;7.4;585;56.8;15.7;20623;5.1;;
422;WHIRLPOOL;US;US;Household Goods & Home Construction;428.2;6.6;19411.1;13;2.2;463.5;28;2.4;2013.9;20.3;10.4;69000;-11.5;12264.4;25.5
423;EMERSON ELECTRIC;US;US;Electronic & Electrical Equipment;428.2;10.5;16101;8.6;2.7;513;8;3.2;2839.5;15.9;17.6;86700;3.8;55684.2;51.9
424;ROIVANT;Switzerland;RoW;Pharmaceuticals & Biotechnology;426.5;100.6;48.8;132.3;873.7;17.4;240.1;35.7;-1193.4;26.2;-2444.8;863;43050;3018.6;
425;SNOWFLAKE;US;US;Software & Computer Services;423.5;97.2;1076.6;106;39.3;14.3;-53.7;1.3;-631.3;31.5;-58.6;3992;60;80857.2;563
426;YELP;US;US;Media;422.6;18.4;911;18.2;46.4;25;-11.6;2.7;27.9;-190.3;3.1;4400;12.8;2501.3;67.6
427;CHINA CSSC;China;China;Industrial Engineering;420;2.6;8090.3;8.5;5.2;163.5;-43.9;2;73.2;-23.1;0.9;19733;-2.7;8090;102.8
428;OKTA;US;US;Software & Computer Services;418.1;107.4;1148;55.6;36.4;10.9;-5.9;0.9;-677.3;275.7;-59;5030;79.3;34355.8;50.6
429;KONICA MINOLTA;Japan;Japan;Technology Hardware & Equipment;417.9;-8.7;7046;5.6;5.9;319;60.7;4.5;-157.8;-99.4;-2.2;39121;-4.5;2172.2;63
430;B. BRAUN;Germany;EU;Pharmaceuticals & Biotechnology;417.5;11.7;7859.8;5.8;5.3;682.4;1.7;8.7;450.5;-2.3;5.7;65248;1.6;;
431;CENTRAL JAPAN RAILWAY;Japan;Japan;Travel & Leisure;417.3;49.8;7229.3;13.6;5.8;3483.1;-4.2;48.2;3.1;-100.2;0;30323;0.6;25679.5;1.5
432;AU OPTRONICS;Taiwan;RoW;Electronic & Electrical Equipment;416.7;27.1;11819.7;36.8;3.5;543.3;9.2;4.6;2055.3;1055;17.4;;;5401;68.4
433;NARI TECHNOLOGY;China;China;Software & Computer Services;413.1;23.4;5833.6;10.2;7.1;279.5;-41.8;4.8;948.9;7.3;16.3;9551;8.5;26745.1;193.5
434;UNITED MICROELECTRONICS;Taiwan;RoW;Technology Hardware & Equipment;412.4;0.3;6792.1;20.5;6.1;1531.6;82.3;22.6;1533.9;201;22.6;;;24995.7;192.3
435;ZYNGA;US;US;Software & Computer Services;411.4;31.5;2472.6;41.8;16.6;11;-33.5;0.4;51.1;-116.1;2.1;2952;31.5;8507.5;-1.1
436;BAUSCH HEALTH COMPANIES;Canada;RoW;Pharmaceuticals & Biotechnology;410.6;2.9;7446.6;5.1;5.5;237.5;-10.9;3.2;397.3;-33.4;5.3;19600;-10.9;9041.7;71.4
437;ROKU;US;US;Media;408;29.1;2440.9;55.5;16.7;35.4;-51.4;1.4;211;-1280.1;8.6;3000;55.8;36218.4;123.3
438;ATLAS COPCO;Sweden;EU;Industrial Engineering;407.7;9.2;10834.9;11.1;3.8;192.4;35;1.8;2260.3;18.3;20.9;42862;6.7;48576.6;48.1
439;CITIC PACIFIC SPECIAL STEEL;China;China;Industrial Metals & Mining;407.4;29;11237.9;29;3.6;349.8;-20.5;3.1;1465.6;25.5;13;23238;2.1;4446.7;132.4
440;VILMORIN;France;EU;Food Producers;406.2;-0.8;1476.6;2.9;27.5;43.7;17.8;3;167.8;29.5;11.4;7089;0.5;1088.6;-2.8
441;THOMSON REUTERS;Canada;RoW;Support Services;406.1;15.9;5604.8;6.1;7.2;430;-3.4;7.7;1096.6;-35.6;19.6;24400;1.7;50167.4;47.6
442;CNOOC;China;China;Oil & Gas Producers;405.5;8.3;34110.5;58.4;1.2;11425.6;9.3;33.5;13387.9;173.4;39.2;19086;4;39278.8;-11.9
443;OPEN TEXT;Canada;RoW;Software & Computer Services;405;5;3084.8;3.2;13.1;82.2;46.2;2.7;610.7;-7.1;19.8;13800;-3.5;12908;16.9
444;ROBINHOOD;US;US;Software & Computer Services;404.4;662.3;1602.6;89.3;25.2;55.8;158.5;3.5;-1448.9;-12008.6;-90.4;3800;81;28381.4;
445;360 SECURITY TECHNOLOGY;China;China;Software & Computer Services;403.8;6.3;1494;-6.7;27;53.3;-31.1;3.6;37.8;-86.9;2.5;7393;11.4;11785;154.4
446;CGN POWER;China;China;Electricity;403.6;19.4;11035.2;14.5;3.7;2001.5;6.9;18.1;3253.3;-0.5;29.5;18248;-0.1;2174.1;2.4
447;NAURA TECHNOLOGY;China;China;Electronic & Electrical Equipment;400.9;79.9;1327.7;60.5;30.2;61.9;-33.1;4.7;170;82;12.8;8153;36.4;22659.4;93.7
448;TERUMO;Japan;Japan;Health Care Equipment & Services;400.7;5.6;5437;14.6;7.4;413.7;-14.1;7.6;900.1;17.7;16.6;28294;6.8;26991.9;6.7
449;BRIDGEBIO PHARMA;US;US;Pharmaceuticals & Biotechnology;398.2;33.8;61.6;745.1;646.9;11.7;76.2;19;-509.1;21.5;-827.1;576;49.6;6626.1;105.4
450;HANWHA;South Korea;RoW;General Industrials;397.1;-13.3;39314.2;3.7;1;1141.5;1.9;2.9;2178.6;89;5.5;;;1938.7;26.5
451;SICHUAN ROAD & BRIDGE;China;China;Construction & Materials;394.5;69.6;11683.9;31.3;3.4;355.8;91.2;3;1289.7;51.7;11;13763;8.9;3773.1;71.9
452;DATADOG;US;US;Software & Computer Services;393.6;92.9;908.3;70.5;43.3;8.8;83.9;1;-16.9;39.1;-1.9;3200;46.5;29167.8;108.3
453;BILIBILI;China;China;Software & Computer Services;393.6;87.7;2686.5;61.5;14.7;133.8;60.3;5;-891.1;104.7;-33.2;12281;42;21296.9;1115.5
454;INSPUR ELECTRONIC INFORMATION INDUSTRY;China;China;Software & Computer Services;392.6;11.8;9246.9;6.4;4.2;27;-56.6;0.3;385.3;30.4;4.2;7421;4.1;6038.7;-16.3
455;ORGANON;US;US;Pharmaceuticals & Biotechnology;391.1;45.7;5566;-22.1;7;169.5;-24.7;3;1654.6;-33.3;29.7;9300;-6.5;7586.6;
456;JD LOGISTICS;China;China;Industrial Transportation;389.9;36.9;14510.3;42.7;2.7;575.5;30.7;4;-290.7;-268.5;-2;316382;22.3;23522.2;
457;AGILENT TECHNOLOGIES;US;US;Electronic & Electrical Equipment;389.4;10.8;5579.2;18.4;7;166;58;3;1189.3;57;21.3;17000;3.7;46899.8;71.6
458;VIR BIOTECHNOLOGY;US;US;Pharmaceuticals & Biotechnology;387.7;50.2;967.2;1334.4;40.1;19.3;233.1;2;371.5;-241.7;38.4;444;35.8;5943.6;30.9
459;PPG INDUSTRIES;US;US;Construction & Materials;387.6;15.8;14834.9;21.5;2.6;327.6;22;2.2;1464.8;2;9.9;49300;5.1;33436.5;33.3
460;FANUC;Japan;Japan;Industrial Engineering;386.5;6.5;5666.7;33;6.8;265.7;57.9;4.7;1416.6;62.9;25;8675;5.1;37446;28.9
461;CRISPR THERAPEUTICS;Switzerland;RoW;Pharmaceuticals & Biotechnology;386.3;64.2;807.8;127155;47.8;72.1;345.1;8.9;335.1;-209;41.5;473;15.4;8406.6;45.2
462;IDORSIA;Switzerland;RoW;Pharmaceuticals & Biotechnology;386.2;9.1;34.2;-50.7;1129.3;24.7;175.5;72.2;-593;49.3;-1734.1;1100;;3495.7;-5.5
463;MIRATI THERAPEUTICS;US;US;Pharmaceuticals & Biotechnology;385.4;52.6;63.7;438.1;605.5;8.6;124.3;13.6;-506.1;55.2;-795.1;414;106;7736.2;31.7
464;ASSA ABLOY;Sweden;EU;Construction & Materials;384.5;0.9;9281.1;8.4;4.1;167.3;-5.1;1.8;1393.4;13.6;15;50934;5.1;28425.9;37.9
465;LEO PHARMA;Denmark;EU;Pharmaceuticals & Biotechnology;382.3;0.6;1339.9;1102;28.5;128.6;-59.7;9.6;-559.3;36.4;-41.7;5804;-2.5;;
466;AGC;Japan;Japan;General Industrials;382.2;6.5;13122;20.2;2.9;1627.9;10;12.4;1563.1;211.6;11.9;55999;-0.3;9354.1;77
467;DOCUSIGN;US;US;Software & Computer Services;381.7;43.7;1860.5;45;20.5;54.2;-25.5;2.9;-54.6;-64.4;-2.9;7461;32.5;51453.1;41.1
468;TRUMPF;Germany;EU;General Industrials;379.8;1.6;3504.7;0.5;10.8;208.4;-15.8;5.9;366.7;16.7;10.5;13964;-2.5;;
469;CHINA SHIPBUILDING;China;China;Industrial Engineering;377.8;0;5296.3;12.6;7.1;162.7;-46;3.1;-234.8;246.5;-4.4;33509;1.1;11074.1;-9.9
470;TERADYNE;US;US;Technology Hardware & Equipment;377.5;14;3269.4;18.6;11.5;117;-28.4;3.6;1068.4;32.1;32.7;5900;7.3;17827.5;43.1
471;WIX.COM;Israel;RoW;Software & Computer Services;377.4;33.2;1121;28.4;33.7;33.3;100;3;-287.4;65;-25.6;5929;28.1;10985.9;-15.3
472;UNITED THERAPEUTICS;US;US;Pharmaceuticals & Biotechnology;376.7;19.3;1488.2;13.6;25.3;106.7;103.7;7.2;488.8;-5;32.8;965;1.6;8523;103.2
473;JA SOLAR;China;China;Electronic & Electrical Equipment;375.9;87;5643.2;60.1;6.7;751.4;69.5;13.3;426;25;7.5;29638;17.7;6881.5;474.8
474;IFLYTEK;China;China;Software & Computer Services;374.8;19.8;2516.3;40.6;14.9;288.5;66.6;11.5;217.5;14.8;8.6;14307;30;15093.6;42.7
475;FORTINET;US;US;Software & Computer Services;374.5;24.3;2950.9;28.8;12.7;261.3;135;8.9;574.3;23.3;19.5;10195;23.8;45443;140.9
476;ADVANTEST;Japan;Japan;Technology Hardware & Equipment;373.9;13.3;3222.9;33.3;11.6;132.6;38.2;4.1;887;64.7;27.5;5941;12.9;14687.4;87.8
477;ROCKWELL AUTOMATION;US;US;Industrial Engineering;373;13.7;6178.2;10.5;6;106.2;5.6;1.7;1017;6.6;16.5;24500;4.3;33339.7;41.2
478;PLAYTIKA;US;US;Software & Computer Services;372.8;45.3;2280.6;8.9;16.3;41.9;-12.4;1.8;496.4;45.2;21.8;4000;5.3;9544.6;
479;XINJIANG TIANSHAN CEMENT;China;China;Construction & Materials;371.7;967.9;22786.1;5;1.6;2775.2;26.8;12.2;3415.1;-9.2;15;70829;0;1799.2;-34.7
480;APELLIS PHARMACEUTICALS;US;US;Pharmaceuticals & Biotechnology;371.6;40.3;58.8;-73.4;632.3;1;-79.7;1.7;-473.5;150.9;-805.7;476;27.3;5058.4;145.8
481;RECKITT BENCKISER;UK;Row;Household Goods & Home Construction;371.3;8.7;15697.1;-5.4;2.4;442.4;-5.3;2.8;3219.1;25.6;20.5;41800;-3.9;46924.2;-25.9
482;DSM;Netherlands;EU;Chemicals;371;-15.7;9468;4.8;3.9;433;-5.5;4.6;1739;108;18.4;21358;-7.6;31505.2;29.2
483;ARENA PHARMACEUTICALS;US;US;Pharmaceuticals & Biotechnology;370.3;29.6;0;-83.1;776783.1;0.9;20.5;1829.7;-481.8;27.9;-1010502.3;448;23.4;2519;-27.3
484;MAMOURA DIVERSIFIED GLOBAL HOLDING;United Arab Emirates;RoW;Financial Services;370.2;4.4;13084.8;29.9;2.8;2705.4;24.8;20.7;;;;;;;
485;SANDVIK;Sweden;EU;Industrial Engineering;370;14.2;9682;14.7;3.8;286.8;9.4;3;1821.3;66.7;18.8;44136;18.9;26958.8;29.6
486;JTEKT;Japan;Japan;Industrial Engineering;367.8;-8.7;11042.7;14.6;3.3;330;-22.7;3;283.1;177.9;2.6;47167;-2.4;2640.6;21.5
487;RELX;UK;Row;Media;367.7;-2.5;8592.3;1.9;4.3;33.2;-34.9;0.4;2234.7;23.5;26;33500;0.9;51345;31.6
488;INVITAE;US;US;Health Care Equipment & Services;367.4;72.9;406.5;64.7;90.4;48.3;139.3;11.9;-345.8;-37.8;-85.1;3000;42.9;5685.8;39.8
489;GENERAL DYNAMICS;US;US;Aerospace & Defence;366.4;11;33965.2;1.4;1.1;783.2;-8.3;2.3;3675.6;0.7;10.8;103100;2.4;49439.3;30.7
490;AHOLD;Netherlands;EU;Food & Drug Retailers;365;20.9;75601;1.2;0.5;2400;-9.7;3.2;3320;51;4.4;413000;-0.2;29876.4;7.6
491;SUNNY OPTICAL TECHNOLOGY;China;China;Electronic & Electrical Equipment;364.8;6;5197;-1.3;7;288.7;-10.7;5.6;740.1;-5.4;14.2;24664;1.2;29209.5;104.7
492;CIRRUS LOGIC;US;US;Technology Hardware & Equipment;364.4;20.4;1572.9;30.1;23.2;23.1;43.2;1.5;323.4;54.2;20.6;1591;7.4;4255;36.2
493;SEGA SAMMY;Japan;Japan;Travel & Leisure;364.3;-2.4;2481.2;15.6;14.7;46.3;-18.6;1.9;244.4;885.7;9.8;7760;3;3058.4;20.9
494;SICHUAN CHANGHONG ELECTRIC;China;China;Household Goods & Home Construction;364.2;5.8;13512.9;6.5;2.7;148.6;31.6;1.1;227.1;38.1;1.7;46664;-10;1829.3;-9.5
495;KAWASAKI HEAVY INDUSTRIES;Japan;Japan;General Industrials;364.1;4.8;11602.9;0.8;3.1;482.4;20.7;4.2;348.6;-319.8;3;36587;-0.3;3040.3;56.7
496;ANGANG STEEL;China;China;Industrial Metals & Mining;362.6;69.3;18709.6;35.8;1.9;626.2;19.6;3.3;1281.8;170.4;6.9;30412;-3.5;6273.7;110.5
497;VISMA;Norway;RoW;Software & Computer Services;361.8;27.9;208.3;-88.9;173.7;1.1;-90.2;0.5;221;-1.6;106.1;14064;12.5;;
498;SHOWA DENKO;Japan;Japan;Chemicals;361.4;36;10974.8;45.8;3.3;523.7;5;4.8;584.7;-309.8;5.3;26054;-22.7;2832.1;18.4
499;COMMERZBANK;Germany;EU;Banks;361;46.2;9729;9.7;3.7;510;8.7;5.2;106;-104;1.1;46218;15;6671.3;8.5
500;HILTI;Liechtenstein;RoW;Construction & Materials;360.8;4.2;5783;12.1;6.2;183.8;26.1;3.2;822.3;16.7;14.2;31115;5.3;;
501;DANFOSS;Denmark;EU;Industrial Engineering;360;15.8;7539;29.3;4.8;339;68.7;4.5;877;40.3;11.6;32932;19.6;;
502;LEGRAND;France;EU;Electronic & Electrical Equipment;359.7;12.5;6994.2;14.7;5.1;139.9;10.3;2;1344.1;26.2;19.2;34244;3.9;25921;38.7
503;MASTERCARD;US;US;Financial Services;359.4;10.3;16826.8;27.2;2.1;359.4;20.1;2.1;9100.3;32.8;54.1;24000;14.3;299222.9;-4.7
504;AGCO;US;US;Industrial Engineering;358.3;18.4;9834.3;21.7;3.6;238.2;0;2.4;897.7;64.1;9.1;23300;8.9;9160;94.8
505;ANSYS;US;US;Software & Computer Services;357.5;13.9;1683.5;13.4;21.2;20.3;-34.9;1.2;453.2;3.4;26.9;5100;6.3;28146.4;9.6
506;WORLDLINE;France;EU;Financial Services;357.2;72.5;4897.5;78.2;7.3;225.6;61;4.6;-431.6;-273.8;-8.8;20711;0;21110.6;49.4
507;SEIKO EPSON;Japan;Japan;Technology Hardware & Equipment;356.3;-0.9;8727.3;13.4;4.1;298.4;-18.7;3.4;698;73.9;8;77642;-2.9;6333.4;61.9
508;TCL ZHONGHUAN RENEWABLE ENERGY TECHNOLOGY;China;China;Technology Hardware & Equipment;356.1;184;5599.8;115.9;6.4;845.8;66.9;15.1;752.4;124.9;13.4;13371;30.3;22686.9;181.5
509;TAKE-TWO INTERACTIVE SOFTWARE;US;US;Software & Computer Services;354.1;29.1;3094.5;3.9;11.4;140.1;130.2;4.5;418.9;-24.6;13.5;7799;20.1;16585.8;-4
510;NEKTAR THERAPEUTICS;US;US;Pharmaceuticals & Biotechnology;353.4;11.6;90;-33.4;392.8;13.2;106.5;14.7;-393.9;11.6;-437.8;740;3.1;2512.1;-17.8
511;DOORDASH  DOORDASH;US;US;Software & Computer Services;353.2;27;4315.7;69.4;8.2;113.9;21.7;2.6;-399.1;3.7;-9.2;8600;121.3;51813.3;41.7
512;ELBIT SYSTEMS;Israel;RoW;Aerospace & Defence;348.8;9.8;4660.5;13.2;7.5;166.5;42.7;3.6;356.6;22.3;7.7;17787;6.7;5854.3;3
513;POSCO;South Korea;RoW;Industrial Metals & Mining;348.6;0.1;56797.3;32.1;0.6;2612.3;0.4;4.6;6873.9;284.4;12.1;;;19061.2;59.3
